comment,target
"Насчет экспорта я не согласен. С точки зрения экономики, увеличение обьемов производства будет способствовать экономике масштабирования (средняя затрата будет минимизирована), что повлияет на конечную цену товара в том числе и для Украинского правительства. В краткосрочной перспективе все предприятия смогут добиться заветного равновесия МВ=МС, а в долгосрочной перспективе эскпансия даст значительный прирост производственных мощностей и увеличение доходов/прибыли. Так же экспорт сможет улучшить плачевное сальдо торгового баланса и обеспечит прирост поступлений капитала в Украину. ТАК ЧТО ЕСЛИ ЕСТЬ ШАНС ДАТЬ НЕБОЛЬШОЙ БУСТ НАШЕЙ ЭКОНОМИКЕ, ИМ НАДО ПОЛЬЗОВАТЬСЯ. ИМХО, будущее экономики Украины я вижу как раз в производстве гражданских и военных дронов. Ну это конечно при условии, что наше правительство как всегда не обгадиться)",0
Пресс-секретарь Трампа конечно такой же агрессивный как и сам Трамп. Ее же сам Трамп и выбирал. Ничего удивительного. Хрен вы дождетесь объединения и полит терпимости.,-1
Зачем кубышка? - что все своровать в последний момент,0
"Так много у вас общего с Гордоном, что аж страшно свои сверхсекретные источники и совещания с правительством, а с мировым правительством вы проводите совещания?",-1
"Что-то Любарскому и искусственный интеллект не помогает делать выпуски.
Какой-то бред про Лидси Вон, ну это уровень ниже плинтуса. Оказывается один из лидеров кубка мира зашла с черного хода и пошли примитивные сплетни. Да и в хоккей швеки просто сильней немок, закрытый туалет не помог не помешал.
Официальная квалификация: 23 декабря 2025 года было объявлено, что 41-летняя Вонн официально выполнила квалификационные требования для участия в скоростном спуске.
Результаты Кубка мира: Для получения олимпийской квоты она показала высокие результаты в начале сезона 2025–26, включая сенсационную победу в скоростном спуске в Санкт-Морице в декабре 2025 года.",-1
"Уважаемый Сергей, не согласен с вами, что всё у путина идет по плану, даже официальные лица в рф и многие имеющие отношение к бизнесу и экономике, говорят о том,что экономика рф на пределе и к лету ожидается серьезнейший кризис,признаки которого уже видны невооружённым глазом,поэтому видимо путин решил форсировать вопрос, интенсифицировав удары по Украине, надеясь за оставшееся время принудить Украину к сдаче,но это у него не получится с вероятностью 90 проценто, запад,как вы правильно заметили, молчит и практически бездействует,если бы тот же трамп целый год не занимался непонятно чем,а дал Томагавки,то война давно бы уже закончилась",0
Якименко ещё не извенился за свою речь?,0
"Подскажиье, успели ли передать Виктову информацыю о выступлении Яковенко? Или немного не успели))",-1
в чём ваш интерес что вы американец так интенсивно внушаете русскоговорящему сообществу так активно впариваете свою политическую позицию ? или не свою?,-1
"Сам считаю себя нигилистом, но нести в массы как делали те не очень далёкие эту философиию я не собираюсь и максимально их осуждаю. Вообще нести в массы нигилизм, противоречит самому нигилизму, к этому разве что приходят сами или как там говорят, состояние души.. если такова существует.",0
"Золотовалютные резервы Украины хранятся за границей, контролируются МВФ и Украина не может использовать их по собственному решению.",0
"23:40 Чувак, ты уже забыл как 6 минут назад клеймил украинцев за нежелание подписывать договор? У тебя настолько сильная деменция, что ты не помнишь, что говорил 6 минут назад? Может тогда не надо вести канал? Или кремлёвские деньги настолько сильно влекут? подлец.",-1
Какой хитрий дядя....,-1
"Григорий, в вашей аргументации есть странный парадокс.

С одной стороны, вы прямо утверждаете, что Путину мир или прекращение огня не нужны в принципе, и он лишь имитирует процесс, выдвигая заведомо неприемлемые условия. То есть, по вашим словам, он даже не собирается ничего подписывать.

Но с другой стороны, вы раз за разом повторяете, что Украине нужно отказаться от части территорий, чтобы немедленно прекратить войну.

Объясните логику: как отказ от территорий может прекратить войну, если, как вы сами говорите, Путин вообще не настроен на подписание мира? Если он не покупает, то какая разница, какую цену (в виде территорий) выставляет Украина? В вашей интерпретации получается, что Украина должна просто отдать землю в одностороннем порядке, не получая взамен даже призрачного шанса на прекращение огня. Это выглядит не как стратегия мира, а как призыв к капитуляции без всяких гарантий.",1
"Не просто абсурд, но и не прикрытая наглость Зеленского: говорить о мире и одновременно гнать на марафоне не примиримость и призывать к продолжению войны.",-1
"Сергей у вас разумная аналитика я ее поддерживаю. А в отношении украинской стороны то это чистый КВН в прямом и переносном смысле. Ну отрабатывает деньги он европы . там много воровать, уйма возможностей и желание КВЭНИТЬ поэтому. Украине выгодны даже такие условия не выгодны зеленскому потому что прийдеться ответить на много вопросов вот поэтому мир наступит.Увы как грусно это признать. то не путина ради мира надо вперед ногами а кого то другого и пока всем это ненадоест и прийдут к такому выводу мира не будет...",1
"Не так страшен путин как его Гетьманев!
С каждого украинца берут по полной программе растаможку за генераторы до 6квт.
Вот где вопросы!",0
Это кошмар то что происходит с Украиной у тоже ничего хорошего Хамас не думает разоружаться а Трамп уже решил восстанавливать Газу полный абсурд а с Ираном что достигнута одна болтовня и обещания,-1
У меня создается впечатление что Любарский не хочет остановки войны даже сильнее чем зеоенский.,-1
"Генерал СВР и Соловей утверждают, что перед каждым массированным ударом по Украине, он предупреждает лично Трампа. И только единственный раз Трамп отреагировал, когда сказал, что в Украине сильные морозы и попросил недельку не бить по энергетике. Трамп лично потвердил, когда напрямую его спросили журналисты. О чем тогда говорить?",0
"А как насчёт договороспособности Зеленского?Он сорвал Минские договора и Стамбульские договора.Зеленский , а не Путин.",0
"Сергей! А вам не кажется, что Пупкин усиливает обстрелы именно потому, что старается принудить Зеленского к скорейшему перемирию? И если ему так нужно перемирие - то разумно было бы на него согласиться, и взамен чего то дополнительно потребовать. В не защищать упрямо оставшийся кусочек Донбасса?",0
"В том и главная проблема: нет и не будет ответа на вопрос ""получится или не получится у Путина то-то и то-то"". Получится, но только отчасти и неизвестно когда. Болото.",0
"Благодарю. Хорошей недели. Вы когда-то сказали, что для наведения порядка с мигрантами надо принять несколько действенных законов. Всё остальное, картинка для друзей. Все знают, в Украине война. А, есть закон, документ подписанный и проголосов., в Украине война? Иначе в реальности для простого укр. народа война, для всех остальный манипуляция(картинка для друзей). То, что Вы назвали маразмом, воюющая страна продаёт оружие, было просто не возможно. А, коррупционеры автоматич. стали бы преступниками и предателями? Западу тоже получается выгодно? Языком можно молоть, что угодно, а потом просто забыть или не так поняли. Мы знаем идёт геноцид укр. народа. А ,есть закон или официал. документ для западного мира? Который узакон., это преступление. Снести памятники голосуют.Запретить книги, фильмы подписыв.и голосуют. Уничтожение церквей, языка подписыв. и голосуют. Для мировых лидеров, мирового сообщества в законой плоскости, что у нас война или сво ?",1
"45:25 
Толпа терпела бедность, кризис, беспредел и прочее, и русский язык стерпит.",0
Кого вы обвипняете а не украинские власти привели сюда вой,-1
Болтология,-1
"По кейсу Линдси Вонн. Сергей, это не про рациональное мышление. Большой спорт он вообще не про это, там во многих видах (есть исключения: плавание, академическая гребля), вообще нет не травмированных. Но есть порода людей, которые идут на это осознанно. 2,5–3 км, перепад высот 550–800 метров, скорость 150–100 км/ч и полторы/две с небольшим минуты — вот где жила Линдси. Если эти цифры не будоражат ваш мозг а сердце не начинает биться чаще, вам не понять её мотивации. Утке не понять, зачем орёл парит в облаках. Многие говорят — безумие. Да, но у этого вида безумия есть специальное имя — страсть. Преодолеть свой страх, пройти по лезвию бритвы, там где другие ""сбросят газ""; только так можно достичь вершины. Оставаться на ней — это удел избранных. Она Королева горных лыж. Женщина Киборг. Моё почтение. А по поводу ""ей 41 и попала за былые заслуги и красивая"", таки да: красивая. Но, к началу Олимпиады Вонн занимала 1-е место в мировом зачете Кубка мира по скоростному спуску (400 очков) и в тренировочных спусках перед основной гонкой уступала лидерам менее пол секунды (вторая тренировка — 4-е место и третья — 2-е место). Так что, Сергей, учите матчасть.",-1
"У России ситуация не улучшится! Это он тоже знает,поэтому ва-банк пошел. Вы часто неверно трактуете. Говорите факт,но далее трактуете не логично. 
Трамп в первые дни президентства говорил что эту войну должны европейцы решать. Он этого достиг. У Путина нет денег продолжать войну. Я живу в России. Экономика до такой ситуации ухудшилась что на улице уже видно ее. И я живу в приличном городе. Ширяева послушайте он все точно про экономику России говорит и про Трампа к стати тоже. Ведь на Руском языке мало экономистов кто понимает политика Трампа.",0
"Аналитика Любарского, - Аналитика ангажированного MAGA-вского трамписта! Не более! Респект Илларионову!",-1
"Разве не Зеленский начал первым разрушать энергообьекты России?. Помню даже отказался договариваться о прекращении этих самых отак. А логика была примитивная- пока РФ выбивает мелкие сёла и посёлки, Украина будет уничтожать Российские НПз. Не срослось.",-1
"Что то пан Любарский совсем того, обычно передергивал факты, показывали нужные нарезки, частые повторы, сейчас все сводится к оскорблению украинцев вообще чествуется правильное про российское ЗА! Украина это пример тем кто поведется на всякие там подкаты и договора с США, Иран правильно поступает им как и Украине дадут ""бамажки"", а после подписанты порвут страну на части. А вообще да РФ Путлира может пулять как в копеечку по всей Украине, но не долго даже деньги основных спонсоров ЕС частично США Индии и Китая маловато что бы каждый день тратить только на обстрелы 100-150 миллионов рублей, а нужно еще на наземную 1.1-1,5 лярда + техника в хранилищах уже того.",-1
"В истории Европы были , действительно мрачные и темные пятна, когда она изменяла своим же принципам христианского гуманизма и достоинства личности каждого человека. Если бы Европа не изменилась бы и продолжила творить такой же ад , то да -- вот тогда можно было бы говорить о ""закате Европы"". 
И на фоне этих мрачных страниц казус с болельщикам или инцинденты или с маргинальными преступнкиами -- это ничто. Масштабы бедствий несопоставимы. Говорить о ""закате"" можно только , если не ценить все предыдущие достиижения.",0
"За то что Россия уничтожает украинскую инфраструктуру и е электростанции спосибо Трампу 
За эти полтора года благодаря сделок Трампа Россия причинила на много больше вреда украине чем за предыдущие 2.5 года
Все эти сроки 2 недели 2 месяца Трамп согласовывает с Кремлем",0
Так Украина должна отдать Донбасс потому что у Трампа видите ли выборы? Тю. Он и так их проиграет хоть с Донбассом хоть без.,-1
"Ещё Тупин кинул свое ИПСО с убитым генералом. То,что хотел Путин,почти достигнуто ,но осталось...... Увидим",0
"Как бы не рассказывали нам уважаемые наши спикеры о том, какая коррумпированная , непоследовательная и тупая Украина , дело не в Украине. В этой войне проиграли прежде всего США Рональда Рейгана , Байдена и Трампа. 
У Зеленского нет шансов попасть на второй президентский срок. 
И , если говорят о том, что Трамп - это умный человек, который изображает из себя сумасшедшего , то главной из причин его такого поведения является стратегическое поражение США в войне против России.",0
"Трамп продает Путину веревку на которой он хочет повесить США, нато и Евросоюз.
Надеюсь Трамп не такой тупой и это всеволишь хитрый план",-1
"Украинцы - герои, но такие упрямые!",1
Израильское лобби самое сильное в США? Так почему тогда у вас процветает антисимитизм?,0
"Рассказываю зачем наращиваю золотые резервы. Когда страна развалиться и придут орки они это золото заберут с собой как Янукович сделал, а людей оставят опять с 0 буджетом",0
28:30 Вечер перестаёт быть томным. Пациент проводил совещание на уровне правительства. Санитара в палату! У больного обострение!,-1
"Я только за русский язык. Я Киевский и живу в Америке . Но я переживаю за Украину. И мне бы хотелось,приехать в Киев и не придумывать украинские слова и не стоять мэксть и бэкать",0
"Сергей, ну какая тут демократия? Референдум - это голосование о доверии. 
Народу не надо знать секретных данных. Мы вам говорим все будет хорошо и мы победим - верите или нет? Демократия наступает тогда, когда примерно 80% говорит - нет, не верим и сносит правительство. Вот так это работает.",0
"Исходя из всего вышесказанного Любарским, появляется закономерный вопрос: а на чьей стороне США и Трамп?",0
"У Трампа есть бумажка где он умывает руки смешно
А моморандум забыли всенет не дадим",-1
"Предсказание от предсказавшего, что Камала Харрис победит на выборах )))",0
15:58 весь мир сейчас живет не в ладах со здравым смыслом.,0
"За инфу из Энергодара спасибо, не ожидал. Поделюсь версией почему бомбардиовки ТЭЦ Украины пошли только в последнее время. Думаю они примерно совпали по времени со снижением цены на нефть. Логика Путина имхо примерно следующая. Процесс передачи Украины в РФ шел как было при Байдене и это был стабильный, а значит, примерно устраивающий всех, уровень. Затем пришел Трамп и после полугода примерно своего правления решил затруднить нам войну, понизив нам доходы через понижение цены на нефть. Мы тоже тогда затрудним ему войну. Но мы не можем понизить ему доходы. Тогда мы поднимем ему расходы, заставив чинить все важное на своем украинском плацдарме, мы это важное разбомбим. А не будет чинить - народ разбежится, это нас тоже устроит. Ваш ход, мистер Трамп.",1
"Lindsey Vonn не должна была этого делать. Во-первых, она заняла чьё-то место. Кто-то пропустил Олимпиаду из-за её тщеславия. Она прекрасна, но подала плохой пример на будущее. Такое уже делала Michelle Quan кажется, когда заняла чьё-то место и отказалась выступать из-за нервного срыва.",0
"Любарский получает по моемуудовольствие анализировать ( то есть Ванговать)для Украины плохие сценарии , каждый день все мрачнее.",-1
"Я об этом начал писать и говорить еще с 2023 года. Что Украине нужно заключать мир с РФ иначе последствия будут очень плачевными с погружением в каменный век. Что мобилизация путем бусификации и фактическое прекращении правовой системы это путь в поражение, что нельзя плевать в колодец от куда пьешь проворачиваясь разные схемы с зерном и сельхоз продукцией в ЕС, нельзя разъединять общество обзывая беженцев предателями и вводя против них рнпресивных мер, нельзя подпитывать разделение внутри страны, необходимо содействовать объединению украинце.Меня украинцы в большинстве обозвали предателем, москалем и сьебиком. Вот сейчас к некоторым после пьянки приходит тяжкое похмелье. Западу выгодно поддерживать эту войну максимально длительно для обескровливания раши.судьба украинцев и Украины для них неинтересна, они просто торпеда. Торпеда отыграет свою роль и будет выброшена за ненадобностью. Никто Украину в ЕС не возьмет и платить деньги на восстановление не будет. Все может вообще с большой вероятностью закончиться Гражданской войной всех против всех. Когда вернутся военнные и начнут тыл и беженцев обвинять в проигрыше войны начнется резня, которой воспользуется Путин для окупации всей Украины. И очень повезет если Польша, Венгрия и Румыния захотят поучаствовать в этом дележе иначе украинцев ждет полный геноцид в классическом понимании этого слова.",0
"Какая чудесная, изощренная работа на кремль.Все время постоянная критика Украины и агитация за ее капитуляцию.А теперь запугивающие картины будущего Украины летом с туалетами в кулечках и отсутсвием продуктов в магазинах.И этого типа еще пускали в Украину для его активной подрывной деятельности. Он вызывает рвотный рефлекс.",-1
"Спасибо, Сергей! Почти по всем вопросам согласен с Вашими выводами. А также ценю Ваши просветительские усилия. 
Жаль, что не могу себе позволить подписаться на Ваш канал ""кофе"" , что порой досадно.",1
